id;datetime;label;spain;andalucia;catalunya;castillaLaMancha;extremadura
202225;2022-06-20;Semana 25 de 2022;337.86;335.8;347.5;340.25;343.67
202226;2022-06-27;Semana 26 de 2022;341.79;340.25;352.5;341.5;345.0
202227;2022-07-04;Semana 27 de 2022;348.73;348.33;357.5;346.75;350.0
202228;2022-07-11;Semana 28 de 2022;357.2;357.75;360.0;355.0;355.0
202229;2022-07-18;Semana 29 de 2022;361.58;363.2;360.0;358.5;350.5
202234;2022-08-22;Semana 34 de 2022;382.43;384.0;385.0;386.5;371.33
202235;2022-08-29;Semana 35 de 2022;388.26;388.99;400.0;390.5;374.33
202236;2022-09-05;Semana 36 de 2022;391.99;392.73;410.0;394.25;372.0
202237;2022-09-12;Semana 37 de 2022;396.32;396.1;410.0;397.0;400.33
202238;2022-09-19;Semana 38 de 2022;396.54;396.1;410.0;397.0;401.0
202239;2022-09-26;Semana 39 de 2022;396.19;396.17;405.0;395.5;396.0
202240;2022-10-03;Semana 40 de 2022;412.21;413.7;410.0;409.5;414.0
202241;2022-10-10;Semana 41 de 2022;442.58;442.0;450.0;441.75;465.83
202242;2022-10-17;Semana 42 de 2022;460.59;459.5;475.0;459.25;475.17
202243;2022-10-24;Semana 43 de 2022;470.91;471.3;475.0;465.5;479.5
202244;2022-10-31;Semana 44 de 2022;472.62;472.9;475.0;472.5;479.33
202245;2022-11-07;Semana 45 de 2022;475.26;474.9;475.0;480.0;472.0
202246;2022-11-14;Semana 46 de 2022;476.17;474.5;475.0;483.5;472.33
202247;2022-11-21;Semana 47 de 2022;480.09;477.4;482.5;485.25;496.33
202248;2022-11-28;Semana 48 de 2022;501.66;504.6;497.5;499.0;487.33
202249;2022-12-05;Semana 49 de 2022;519.45;521.1;540.0;520.75;508.33
202250;2022-12-12;Semana 50 de 2022;526.89;526.4;540.0;532.0;520.33
202251;2022-12-19;Semana 51 de 2022;533.45;533.1;540.0;538.0;521.0
