id;label;spain;andalucia;catalunya;castillaLaMancha;extremadura
202207;Semana 07 de 2022;307.25;327.73;332.5;331.25;329.5
202208;Semana 08 de 2022;307.28;327.66;332.5;330.5;328.5
202209;Semana 09 de 2022;313.1;332.01;342.5;335.25;335.5
202210;Semana 10 de 2022;332.06;348.83;377.5;349.25;343.5
202211;Semana 11 de 2022;344.22;361.6;377.5;360.25;366.17
202212;Semana 12 de 2022;343.92;361.3;377.5;360.25;351.83
202213;Semana 13 de 2022;337.5;335.2;332.5;353.75;375.0
202214;Semana 14 de 2022;333.28;346.2;370.0;347.25;338.17
202215;Semana 15 de 2022;330.95;345.2;360.0;343.5;335.0
202216;Semana 16 de 2022;328.51;339.3;350.0;342.5;339.5
202217;Semana 17 de 2022;328.14;338.6;350.0;344.0;334.53
202218;Semana 18 de 2022;328.4;339.9;350.0;342.5;341.83
202219;Semana 19 de 2022;328.99;340.98;350.0;343.0;342.5
202220;Semana 20 de 2022;329.44;339.8;355.0;341.75;339.33
202221;Semana 21 de 2022;328.43;338.14;350.0;341.0;344.67
202222;Semana 22 de 2022;327.85;337.49;345.0;341.0;344.67
202223;Semana 23 de 2022;326.2;333.2;342.5;339.25;338.67
202224;Semana 24 de 2022;325.84;332.6;342.5;337.75;340.0
202225;Semana 25 de 2022;329.15;335.8;347.5;340.25;343.67
202226;Semana 26 de 2022;333.26;340.25;352.5;341.5;345.0
202227;Semana 27 de 2022;341.55;348.33;357.5;346.75;350.0
202228;Semana 28 de 2022;349.52;357.75;360.0;355.0;355.0
202229;Semana 29 de 2022;353.16;363.2;360.0;358.5;350.5
202234;Semana 34 de 2022;371.14;384.0;385.0;386.5;371.33
202235;Semana 35 de 2022;377.18;388.99;400.0;390.5;374.33
202236;Semana 36 de 2022;383.07;392.73;410.0;394.25;372.0
202237;Semana 37 de 2022;385.48;396.1;410.0;397.0;400.33
202238;Semana 38 de 2022;385.55;396.1;410.0;397.0;401.0
202239;Semana 39 de 2022;385.47;396.17;405.0;395.5;396.0
202240;Semana 40 de 2022;395.24;413.7;410.0;409.5;414.0
202241;Semana 41 de 2022;421.42;442.0;450.0;441.75;465.83
202242;Semana 42 de 2022;433.17;459.5;475.0;459.25;475.17
202243;Semana 43 de 2022;439.33;471.3;475.0;465.5;479.5
202244;Semana 44 de 2022;440.89;472.9;475.0;472.5;479.33
202245;Semana 45 de 2022;442.49;474.9;475.0;480.0;472.0
202246;Semana 46 de 2022;443.22;474.5;475.0;483.5;472.33
202247;Semana 47 de 2022;446.64;477.4;482.5;485.25;496.33
202248;Semana 48 de 2022;464.06;504.6;497.5;499.0;487.33
202249;Semana 49 de 2022;475.92;521.1;540.0;520.75;508.33
202250;Semana 50 de 2022;481.49;526.4;540.0;532.0;520.33
202251;Semana 51 de 2022;485.15;533.1;540.0;538.0;521.0
